ID,SampleID,Group,Type,Saline
A13_1,AR13,AR13,A,ROOT
A13_2,AR13,AR13,A,ROOT
A13_3,AR13,AR13,A,ROOT
A13_4,AR13,AR13,A,ROOT
A13_5,AR13,AR13,A,ROOT
A13_6,AR13,AR13,A,ROOT
AS13_1,ARS13,ARS13,AS,SOIL
AS13_2,ARS13,ARS13,AS,SOIL
AS13_3,ARS13,ARS13,AS,SOIL
AS13_4,ARS13,ARS13,AS,SOIL
AS13_5,ARS13,ARS13,AS,SOIL
AS13_6,ARS13,ARS13,AS,SOIL
W13_1,WR13,WR13,W,ROOT
W13_2,WR13,WR13,W,ROOT
W13_3,WR13,WR13,W,ROOT
W13_4,WR13,WR13,W,ROOT
W13_5,WR13,WR13,W,ROOT
W13_6,WR13,WR13,W,ROOT
WS13_1,WRS13,WRS13,WS,SOIL
WS13_2,WRS13,WRS13,WS,SOIL
WS13_3,WRS13,WRS13,WS,SOIL
WS13_4,WRS13,WRS13,WS,SOIL
WS13_5,WRS13,WRS13,WS,SOIL
WS13_6,WRS13,WRS13,WS,SOIL
